Mercedes-Benz,3097
Porsche,1344
Chevrolet,5079
Nissan,3881
Dodge,1345
Acura,1174
Subaru,1605
Jaguar,1062
Alfa Romeo,290
Honda,2675
Tesla,191
Kia,2160
Ford,4416
Bentley,697
Volvo,1231
Ferrari,91
BMW,4121
Lexus,2125
Genesis,176
Mitsubishi,644
Cadillac,1311
McLaren,72
INFINITI,917
Mazda,1475
GMC,2067
Hyundai,2091
MINI,1059
FIAT,892
Jeep,1196
Chrysler,570
Aston Martin,574
Ram,747
smart,386
Maserati,449
Rolls-Royce,277
Lamborghini,251
Volkswagen,1752
Toyota,4598
Audi,3131
Buick,964
Land Rover,960
Lincoln,1324
